Name,doi,Technique,Manufacturer,Model Number,Serial Number,Room,Status,Acquisition Date,Completion Date,Description,Capabilities,Facility,Location,Award,Faculty Contact 1,Faculty Contact 2,Technical Contact 1,Technical Contact 2,Technical Contact 3,Image,,
AMAT P5000 PECVD,,pecvd,Applied Materials,P-5000 PECVD,,,A,,,"The Applied Materials P-5000 is a four Chamber cluster tool capable of handling small pieces through 200mm (8 inch) wafers. Three of the four chambers are dedicated to Plasma Enhanced Chemical Vapor Deposition (PECVD). Additional Equipment Details
The system can be run in either manual or automatic mode depending on the number of samples being run.

 Chamber A (liquid source oxides and nitride barriers)

Organic based liquids via
vaporizing injector with helium (He) carrier
vapor drawl
bubbler
Chamber B (silane based oxides and nitrides)

Silane (SiH4)
Ammonia (NH3)
Nitrous Oxide (N2O)
Argon (Ar)
Hydrogen (H2)
Nitrogen (N2)
Hexafluoroethane (C2F6) 1150 sccm
Chamber D (amorphous silicon and germanium)

Silane (SiH4)
Nitrogen (N2)
Argone (Ar)
Hydrogen (H2)
Helium (He)
Phosphine (PH3)
Diborane (B2H6)
Trimethylborane (B(CH3)3)
Germane (GeH4)

The fourth chamber on the cluster tool is a Magnetically Enhanced Reactive Ion Etch (MERIE) used for etching silicon oxide, silicon nitride and some polymers.","The Applied Materials P-5000 is a four Chamber cluster tool capable of handling small pieces through 200mm (8 inch) wafers. Three of the four chambers are dedicated to Plasma Enhanced Chemical Vapor Deposition (PECVD).

The fourth chamber on the cluster tool is a Magnetically Enhanced Reactive Ion Etch (MERIE) used for etching silicon oxide, silicon nitride and some polymers.",Nanofab,Millenium Science Complex,,,,wjm122,,,P5000.jpg,,
AML Bonder (model?),,?,,,,,A,,,,,Nanofab,Millenium Science Complex,,,,,,,,,
EVG 520 Bonder,,?,,,,,A,,,,,Nanofab,Millenium Science Complex,,,,,,,,,
Heidelberg DWL66+,,dw-lit,Heidelberg,,,,A,,,"This laser-writer is a high-resolution pattern generator for mask making and direct writing on any flat surface coated with photoresist. The most recent upgrade adds Grey Scale patterning. Both Laser-writers can print down to 800 nm with overlay accuracy of 500 nm.

Substrates up to 9&quot; x 9&quot;
Features down to 600 nm
Address grid down to 10 nm
Real-time autofocus
Vector and raster exposure modes
Exchangeable write modes
Camera system for metrology and alignment
Front to backside alignment
Climate controlled chamber
Multiple data input formats
The laser-writer is a High Resolution pattern generator (PG) for mask making and direct writing on any flat surface coated with photoresist. A digital pattern file, created by the user with Computer Aided Design (CAD) software, direct the laser to areas on the substrate to expose the photoresist.  This technique is often referred to as &quot;maskless or direct write&quot; lithography.",,Nanofab,Millenium Science Complex,,,,mil102,kag31,,,,
Heidelberg MLA150,,dw-lit,Heidelberg,,,,A,,,"Exposes patterns directly without prior fabrication of a mask resulting in significantly shorter prototyping cycles. The MLA 150 provides for flexible change of pattern, distortion compensation and other software corrections. The unique Draw-Mode allows the user to use the overhead camera to directly draw structures on the image, then directly write the structures.

Substrate sizes 3 mm x 3 mm to 150 mm x 150 mm
Exposure area 150 mm x 150 mm
Wavelength 405 nm
Minimum feature size 600 nm
Write-speed approximately 35 minutes for 100 mm full wafer
Realtime autofocus
Overview camera for inspection
Front and backside alignment: 0.5 �m for global and 0.25 �m for local alignment errors
Temperature controlled environmental chamber
User-friendly software",,Nanofab,Millenium Science Complex,,,,mil102,kag31,,MLA150-Heidelberg.png,,
Kurt Lesker ALD 150LE,,ald,Kurt Lesker,ALD 150LE,,,A,,,"KJ Lesker ALD 150LE is a perpendicular flow independent substrate heating thermal ALD system. The unique vacuum and flow dynamics design enables the growth of high quality oxides, excellent for device applications.","Materials Deposited:
- Aluminum Oxide (Al<sub>2</sub>O<sub>3</sub>)
- Hafnium Oxide (HfO<sub>2</sub>)
- Titanium Oxide (TiO<sub>2</sub>)
- Tantalum Oxide (Ta<sub>2</sub>O<sub>5</sub>)
- Zircomium Oxide (ZrO<sub>2</sub>)

Substrate size:
- 6&quot; wafer

Substrate heating:
- Up to 500&deg;C",Nanofab,Millenium Science Complex,,,,bul2,wuz14,,ALD-150LE.png,,
Kurt Lesker ALD 150LX,,ald,Kurt Lesker,ALD 150LX,,,A,,,The ALD150LX Cluster Tool is an integrated system that incorporates a plasma ALD system with a substrate preparation chamber linked by a UHV transfer chamber . This unique combination of chambers and their capabilities enables researchers to create/prepare/modify surfaces prior deposition. In situ ellipsometry and REED enable characterization and control of surfaces as well as interfaces.,"Materials Deposited:
- Titanium Nitride (TiN)
- Aluminum Nitride (AlN)
- Aluminum Oxinitride (AlO<sub>x</sub>N<sub>1-x</sub>)
- Silicon Oxide (SiO<sub>2</sub>)
- Aluminum Oxide (Al<sub>2</sub>O<sub>3</sub>
- Hafnium Oxide (HfO<sub>2</sub>)
- Boron Nitride (BN)
- Platinum (Pt)

Substrate size:
- 6&quot; wafer

Substrate heating:
- up to 500&deg;C",Nanofab,Millenium Science Complex,,,,bul2,wuz14,,ALD150lx.jpg,,
Kurt Lesker CMS-18 #1,,sput,Kurt Lesker,CMS-18,,,A,,,"The CMS-18 is an extremely flexible three target reactive sputtering system with a load lock capable of small parts through 6&quot; wafers.  It has 2 RF sources and one DC source with pulse functions. The system is capable of depositing multilayer film stacks, alloys, and reactively sputtered oxides and nitrides. The system is also setup for substrate heating as well as RF biasing and sample pre-cleaning.","Dilute oxygen in argon
- Nitrogen (N<sub>2</sub>)

Deposited Films
- Aluminum (Al)
- Alumina (AlxOy)
- Barium Titanate (BaTiO3)
- Bismuth (Bi)
- Chromium (Cr)
- Copper (Cu)
- Gadolinium (Gd)
- Gadolinium Nitride (GdN)
- Germanium (Ge)
- Germanium Oxide (GeO2)
- Gold (Au)
- Indium (In)
- Indium tin oxide (ITO)
- Iridium (Ir)
- Iron/Manganese (Fe/Mn)
- Lithium Cobalt Oxide (LCO)
- Magnesium (Mg)
- Magnesium oxide (MgO)
- Molybdenum (Mo)
- Nickel (Ni)
- Nickel Iron (NiFe)
- Nickel/Chromium (NiCr, Nichrome)
- Nickel Oxide (NiO2)
- Niobium (Nb)
- Niobium/Iron (Nb/Fe)",Nanofab,Millenium Science Complex,,,,wjm122,wuz14,,Sputter-KJL-CMS18.png,,
Kurt Lesker CMS-18 #2,,sput,Kurt Lesker,CMS-18,,,A,,,The CMS-18 is an extremely flexible two target reactive sputtering system with a load lock capable of small parts through 6&quot; wafers. The system is capable of depositing multilayer film stacks as well as alloys. The system is also setup for substrate heating as well as RF biasing and sample pre-cleaning. ,"Configuration:
- Computer controlled & recipe driven
- Small parts through 6 inch substrates
- Two cathode (target) system
- 2 DC
- Substrate bias 100 Watts RF for pre-cleaning and ionization of reactive gases oxygen & nitrogen.
- Substrate heating to 750 &deg;C
- Source gases
- Argon (Ar)
- Oxygen (O2)
- Dilute oxygen in argon
- Nitrogen (N2)

Films Deposited
- Titanium
- Platinum
- Iridium
- Gold
- Chrome",Nanofab,Millenium Science Complex,,,,wjm122,wuz14,,,,
Kurt Lesker CMS-18 #3,,sput,Kurt Lesker,CMS-18,,,A,,,"The CMS-18 is an extremely flexible four target reactive sputtering system with a load lock capable of small parts through 6&quot; wafers. The system is capable of depositing multilayer film stacks, alloys, and complex oxides such as PZT (lead zirconate titanate). The system is also setup for substrate heating as well as RF biasing and sample pre-cleaning.","Configuration
- Computer controlled & recipe driven
- Small parts through 6 inch substrates
- Four cathode (target) system
- 2 RF
- 2 DC
- Substrate bias 100 Watts RF for pre-cleaning and ionization of reactive gases oxygen & nitrogen.
- Substrate heating to 750C
- Source gases
- Argon (Ar)
- Oxygen (O2)
- Dilute oxygen in argon
- Nitrogen (N2)

Films Deposited
- Lanthanum Nickelate (LNO)
- Lead Zirconate Titanate (PZT)
- Lead Lanthanum Zirconate Titanate (PLZT)
- Lead Magnesium Niobate - Lead Titanate (PMN-PT)
- Manganese (Mn) doped PZT
- Niobium (Nb) doped PZT
- Platinum",Nanofab,Millenium Science Complex,,,,wjm122,wuz14,,,,
