Characterization,,,,
,Microscopy,,,
,,tem,TEM,Transmission Electron Microscopy
,,stem,STEM,Scanning Transmission Electron Microscope
,,sem,SEM,Scanning Electron Microscopy
,,fib,FIB,Focused Ion Beam
,,fesem,FESEM,Field Emission Scanning Electron Microscopy
,,c-micro,,Compound Microscope
,,d-micro,,Digital Microscope
,,o-micro,,Optical Microsope
,Spectroscopy,,,
,,ftir,FTIR,Fourier-transform infrared spectroscopy
,,raman,,Raman
,,uv-vis,,UV-Vis spectrophotometry
,,arpes,ARPES,Angle-resolved photoemission spectroscopy
,,n-infra,,Nanoscale Infrared spectroscopy
,,t-raman,,Tip enhanced Raman spectroscopy
,,eels,EELS,Electron energy loss spectroscopy
,,tof-sims,ToF-SIMS,Time-of-flight secondary ion mass spectroscopy
,,xps,XPS,X-ray photoelectron spectroscopy
,,arpels,,Angle-resolved photoelectron spectroscopy
,,uvpes,,Ultraviolet Photoelectron Spectroscopy
,,aes,AES,Auger Electron Spectroscopy
,,icp-aes,ICP-AES,Inductively Coupled Plasma Atomic Emission Spectroscopy
,Spectrometry,,,
,,x-fluor,,X-ray fluorescence spectrometry
,,eds,EDS,Energy dispersive spectrometry
,,wave,,Wavelength dispersive spectrometry
,Surface Metrology,,,
,,afm,AFM,Atomic Force Microscopy
,,wl-profilo,,White Light Interferometry Profilometer
,,profilo,,Profilometer
,,l-confo,,Laser Scanning Confocal Surface Profilometer
,,stm,,Scanning Tunnel Microscopy
,Mechanical ,,,
,,elec-test,,Electromechanical Test Systems
,,n-indent,,Nano-indentation
,,m-indent,,Micro-indentation
,,dma,DMA,Dynamic Mechanical Assessment
,,tma,TMA,Thermomechanical Assessment
,Particle Analysis,,,
,,porosity,,Porosimeter
,,pycno,,Pycnometer
,,dyn-light,,Dynamic Light Scattering
,,zeta,,Zeta Potential
,Surface Analysis,,,
,,s-energy,,Surface Energy
,,s-compo,,Surface Composition
,Thermal Analysis,,,
,,th-dsc,DSC,Differential Scanning Calorimeter
,,th-tga,TGA,Thermo Gravimmetric Analysis
,,th-spectro,,Mass Spectrometer
,Scattering and Diffraction,,,
,,saxs,SAXS,Small Angle X-Ray Scattering
,,waxs,WAXS,Wide Angle X-Ray Scattering
,,xrd,,X-ray Diffraction
,,laue,,Back Reflection Laue
,,ebsd,EBSD,Electron Backscattered Diffraction
,Magnetic Characterization,,,
,,squid,SQUID,Superconducting Quantum Interference Device Magnetometry
,,st-fmr,ST-FMR,Spin-Torque Ferromagnetic Resonance
Computing / Simulation,,,,
,Image Analysis and Processing,image,,
Synthesis,,,,
,Bulk Crystal Growth,bulk,,
,,cvt,CVT,Chemical Vapor Transport
,,brm,,Bridgman
,,melt-flux,,Melt/Flux Growth
,,float,,Floating Zone
,Microwave Reactor,,,
,Ovens,,,
,,th-anneal,,Rapid Thermal Annealer
,,vacuum,,Vacuum Oven
,,furnace,,Furnace
,Thin Film Deposition,,,
,,ald,ALD,Atomic Layer Deposition
,,chet,Chet,Confinement Heteroepitaxy
,,cvd,CVD,Chemical Vapor Deposition
,,eva,,Evaporation
,,mbe,MBE,Molecular-Beam Epitaxy
,,mocvd,MOCVD/MOVPE,Metalorganic Chemical Vapor Deposition / Metalorganic Vapor-Phase Epitaxy
,,oxi,,Oxidation
,,plat,,Plating
,,pecvd,PECVD,Plasma-Enhanced Chemical Vapor Deposition
,,pld,,Pulsed Laser Deposition
,,pvd,PVD,Physical vapor deposition
,,sol,,Sol-Gel
,,sput,,Sputtering
Fabrication,,,,
,Etching,,,
,,w-etch,,Wet Etching
,,d-etch,,Dry Etching
,,p-etch,,Polymer Etching
,,v-etch,,Vapor Etching
,Lithography,,,
,,contact-lit,,Contact
,,las-lit,,Laser
,,i-line,,I-Line Stepper
,,eb-lit,,Electron Beam
,,fib-lit,,Focused Ion Beam
,,"3d-print",,"3D Printer"
,,dw-lit,,Direct Write / Maskless
,Microfabrication / Microelectronics / Clean Room,cleanroom,,
,,w-bind,,Wire Bonding
,,poly,,Polymer Processing
,,,,
,,,,
,,,,
,,,,
,,,,
